seed,score,class_imbalance,split_dev,n_train,n_eval,eval_pct,n_eval_sources,eval_left,eval_centre,eval_right,train_left,train_centre,train_right
2641,0.16908109518847364,0.08150359375733576,0.0013679296493323279,36907,9148,19.863207035066768,111,0.35537822474857894,0.22278093572365545,0.42184083952776563,0.3246809548324166,0.273633728019075,0.4016853171485084
1214,0.1690975435123667,0.06835835174803145,0.03298230376723485,38363,7692,16.701769623276515,111,0.31318252730109203,0.29771190847633905,0.3891055642225689,0.3343064932356698,0.25667961316893884,0.4090138935953914
3021,0.16909760932346754,0.05861467682783636,0.05636738682010639,34248,11807,25.63673868201064,111,0.3264165325654273,0.23858727873295502,0.43499618870161766,0.33228217706143426,0.2721326792805419,0.39558514365802383
4773,0.16918190959256546,0.017165411416672327,0.15618282488329172,44037,2018,4.3817175116708285,111,0.3305252725470763,0.25520317145688803,0.41427155599603566,0.33079001748529646,0.26391443558825534,0.4052955469264482
8885,0.16942473123560986,0.040016102647100094,0.1023124525024427,32132,13923,30.23124525024427,111,0.35078646843352723,0.2543273719744308,0.39488615959204193,0.32210880119507035,0.2675214739200797,0.41036972488485
2172,0.1696933820978522,0.07213793941692498,0.026294647703832358,35633,10422,22.629464770383237,111,0.3141431587027442,0.24409902130109384,0.441757819996162,0.3356439255746078,0.26921673729408135,0.3951393371313109
2705,0.17025549202676726,0.043997237096372876,0.09608077298881773,32419,13636,29.608077298881774,111,0.3525960692285128,0.26371369903197417,0.38369023173951305,0.32160152996699465,0.2634566149480243,0.41494185508498105
1747,0.17025667141521345,0.036200556197986455,0.1147975246987298,42131,3924,8.52024753012702,111,0.3488786952089704,0.25382262996941896,0.3972986748216106,0.3290925921530464,0.264437112814792,0.4064702950321616
1999,0.1703652553447174,0.07665945797750023,0.0181304961459125,37679,8376,18.18695038540875,111,0.3666427889207259,0.26599808978032474,0.3673591212989494,0.3228058069481674,0.262984686430107,0.4142095066217256
1703,0.17064688408100584,0.0800601170246455,0.011095429377917687,36333,9722,21.10954293779177,111,0.37080847562229996,0.25591442090104916,0.3732771034766509,0.32006715657941814,0.26557124377287866,0.4143615996477032
4607,0.17075926800690538,0.04885380000178524,0.08644012593638042,40825,5230,11.355987406361958,111,0.3476099426386233,0.2711281070745698,0.38126195028680687,0.3286221677893448,0.2625597060624617,0.4088181261481935
2176,0.17083284444163543,0.05687459263021838,0.06748452936706112,33736,12319,26.748452936706112,111,0.3104148063966231,0.2554590470005682,0.4341261466028087,0.33821437040550156,0.26648091059995255,0.3953047189945459
